variable_id,domain,concepts,question_text,value_labels,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q91_1,Unknown,,"To you, what does ""democracy"" mean?  What else?","95=Don't understand the question; 96=Unclassifiable; 97=No substance in answer; 98=Don't know; 99=No Response; 100=Interpreting democracy in generic (populist) terms; 110=Popular sovereignty; 111=Government of the people; 120=Government by the People; 121=People as their own master; 122=Power of the people; 130=Government for the People; 131=Putting people's interest first; 132=Care for people; 133=Responsive to people's need; 134=Governing in the interest of general welfare; 140=Absence of non-democratic arrangements; 141=No dictator; 142=No repression; 200=Interpreting a democracy in terms of some key elements of li; 201=Limited Government; 202=Freedom and civil liberty; 203=Freedom in general; 210=Freedom of speech/press/expression; 211=Freedom of association; 212=Political liberty; 213=Protection of individual/human rights; 214=Freedom from government repression; 215=Freedom of participation; 216=Freedom of belief (and religion); 217=Freedom of individual choice; 218=Freedom of information; 220=Political Equality; 221=One man one vote; 222=Equality before the law/justice; 223=Non discrimination; 230=Democratic Institutions and Process; 231=Election, popular vote or electoral choice; 232=Electing leaders with integrity and capacity; 233=Parliament; 234=Separation of power or check-and-balance; 235=Competitive party system; 236=Power rotation; 237=Rule of law; 238=Independent judicial; 239=Majority rule; 240=Respect for minority rights; 241=Political accountability; 250=Participation and Citizen Empowerment; 251=Ability to select or change government; 252=Voting; 253=Direct participation; 254=Demonstration; 255=Voice one's concern; 256=Plebiscite (referendum); 260=Social Pluralism and Civil Society; 261=Open society; 262=Pluralist society; 263=Responsible media; 300=Interpreting democracy in terms of social and economic syste; 310=Free Economy; 311=Free market; 312=Private properties/ownership; 313=Free and fair competition; 314=Personal economic opportunities; 315=No central planning; 316=Low tax; 317=Privatization; 318=Small government; 320=Equality, Justice or Fraternity; 321=Social equality; 322=Social justice; 323=Fraternity; 324=Equality of opportunities; 325=Social rights or social entitlements; 326=Welfare state; 327=Socialism; 328=Worker participation; 329=Gender equality; 330=Socio-Economic Performance; 331=Solve unemployment; 332=Find anyone a job; 333=Providing social welfare (or social safety net); 334=Taking good care of the weak; 335=Taking care of people's economic well-being; 336=Provision of happy and prosperous life; 337=Improvement of people's welfare; 338=Stable economy (economic stability); 339=Small income gap (small gap between the rich and the poor); 340=Economic development; 400=Interpreting democracy in terms of good government; 410=Good Governance; 411=Honest government; 412=Responsible (or rational) government; 413=Openness or transparent government; 414=Responsive government (listening to people, respecting publi; 415=Fair treatment; 416=Efficiency or can-do (can deliver); 417=No waste; 418=No corruption; 419=Law-biding government (rule by law); 420=Social stability; 421=Law and order; 430=Reform in General; 431=Political reform; 432=Economic reform; 440=Leadership; 441=Public-spirited (selfish-less) leaders; 442=Visionary (long-term oriented) leaders; 443=Ability to make necessary (and sometimes unpopular) decision; 444=Political elite should decide for the mass; 445=Government leaders should lead the people; 446=More younger leaders to replace the old faces; 447=Development of elite; 448=Competent leadership; 451=Policy making with public opionion; 452=Good paternalistic government; 453=Policy making by hearing people's opionion; 500=Interpreting democracy in term of individual behaviors; 510=Democratic Style; 511=Communication; 512=Compromise; 513=Rational; 514=Tolerance; 515=Taking into account all parties concerned; 516=Freedom within legal limits; 517=Respect for others' rights; 518=No extremism; 519=Follow principles; 520=Duties; 521=Citizen duties; 522=Action within the limits of law; 523=Law-binding; 530=Individualism; 531=Respect for individual privacy; 532=Independence; 533=Self-reliance; 534=Having one's own views; 535=Self-responsibility; 536=Responsibility for one's own action/decision; 537=Fight for one's own interests; 538=Self dignity (self-esteem); 540=Trust; 600=Interpreting democracy in other broad and abstract terms; 610=Political System; 611=Governmental institution; 612=Decentralization (local self-government); 620=Nationalism and Statism; 621=Better country; 622=Wealthy state; 623=National independence; 624=Individual less important than nation; 625=Putting national interest above partisan interests; 626=National Security; 630=Stable and Cohesive Society; 631=Good society; 632=Patriotism; 633=Solidarity; 634=Harmony; 635=No chaos, anarchy or disorder; 636=Collective (group) interest is more important than individua; 640=Other Lofty Elements; 641=World peace; 642=The commonwealth of the world; 650=Ethnicity; 651=Political indiginization (the native rule); 652=Ethnic cleavage (or tension); 660=Democratic Centralism; 700=Conditions or Prerequisites for Democracy; 710=Gradualism; 711=Incremental; 712=It takes time; 713=No radicalism; 720=Prerequisites; 721=Democratic aptitude of citizens; 722=Citizen's sophistication; 723=Economic condition; 724=Level of education; 725=Fit our country's own conditions; 800=Evaluation of Democracy or Democratic Regime; 810=Positive Appraisal of Democracy in General; 811=The best or the better; 812=Progressive; 813=Universal acceptance; 814=Global trend; 820=Negative Appraisal of Democracy in General; 821=Corrupt; 822=Inefficient; 823=Unstable, chaotic, anarchy; 824=Conflict; 825=Lead to injustice; 826=Obstruct economic development; 827=Place too much on individual interests; 828=The worst system; 829=Does not exist; 830=We cannot have democracy; 831=Government ignore people’s need; 832=Manipulation by politicians; 833=Loss of freedom; 834=Serve government's interest; 835=The rich and the powerful dominate; 836=Too much Freedom; 837=Poverty is growing; 840=Positive Appraisal of One's Own Country's Democracy; 850=Negative Appraisal of One's Own Country's Democracy; 900=Reference or Cognitive Association; 910=Country reference; 911=Like United States, United Kingdom, Japan, etc.; 912=Not like North Korea, etc; 920=Political figures (e.g., Sun Yet-sun, Lee Teng-hui, Abraham; 921=Political parties or groups (e.g., DPP, KMT, etc); 922=Other associations (state, politics, society)","""democracy"" mean? what",1,100.0
q91_2,Unknown,,"To you, what does ""democracy"" mean? Second Response","95=Don't understand the question; 96=Unclassifiable; 97=No substance in answer; 98=Don't know; 99=No Response; 100=Interpreting democracy in generic (populist) terms; 110=Popular sovereignty; 111=Government of the people; 120=Government by the People; 121=People as their own master; 122=Power of the people; 130=Government for the People; 131=Putting people's interest first; 132=Care for people; 133=Responsive to people's need; 134=Governing in the interest of general welfare; 140=Absence of non-democratic arrangements; 141=No dictator; 142=No repression; 200=Interpreting a democracy in terms of some key elements of li; 201=Limited Government; 202=Freedom and civil liberty; 203=Freedom in general; 210=Freedom of speech/press/expression; 211=Freedom of association; 212=Political liberty; 213=Protection of individual/human rights; 214=Freedom from government repression; 215=Freedom of participation; 216=Freedom of belief (and religion); 217=Freedom of individual choice; 218=Freedom of information; 220=Political Equality; 221=One man one vote; 222=Equality before the law/justice; 223=Non discrimination; 230=Democratic Institutions and Process; 231=Election, popular vote or electoral choice; 232=Electing leaders with integrity and capacity; 233=Parliament; 234=Separation of power or check-and-balance; 235=Competitive party system; 236=Power rotation; 237=Rule of law; 238=Independent judicial; 239=Majority rule; 240=Respect for minority rights; 241=Political accountability; 250=Participation and Citizen Empowerment; 251=Ability to select or change government; 252=Voting; 253=Direct participation; 254=Demonstration; 255=Voice one's concern; 256=Plebiscite (referendum); 260=Social Pluralism and Civil Society; 261=Open society; 262=Pluralist society; 263=Responsible media; 300=Interpreting democracy in terms of social and economic syste; 310=Free Economy; 311=Free market; 312=Private properties/ownership; 313=Free and fair competition; 314=Personal economic opportunities; 315=No central planning; 316=Low tax; 317=Privatization; 318=Small government; 320=Equality, Justice or Fraternity; 321=Social equality; 322=Social justice; 323=Fraternity; 324=Equality of opportunities; 325=Social rights or social entitlements; 326=Welfare state; 327=Socialism; 328=Worker participation; 329=Gender equality; 330=Socio-Economic Performance; 331=Solve unemployment; 332=Find anyone a job; 333=Providing social welfare (or social safety net); 334=Taking good care of the weak; 335=Taking care of people's economic well-being; 336=Provision of happy and prosperous life; 337=Improvement of people's welfare; 338=Stable economy (economic stability); 339=Small income gap (small gap between the rich and the poor); 340=Economic development; 400=Interpreting democracy in terms of good government; 410=Good Governance; 411=Honest government; 412=Responsible (or rational) government; 413=Openness or transparent government; 414=Responsive government (listening to people, respecting publi; 415=Fair treatment; 416=Efficiency or can-do (can deliver); 417=No waste; 418=No corruption; 419=Law-biding government (rule by law); 420=Social stability; 421=Law and order; 430=Reform in General; 431=Political reform; 432=Economic reform; 440=Leadership; 441=Public-spirited (selfish-less) leaders; 442=Visionary (long-term oriented) leaders; 443=Ability to make necessary (and sometimes unpopular) decision; 444=Political elite should decide for the mass; 445=Government leaders should lead the people; 446=More younger leaders to replace the old faces; 447=Development of elite; 448=Competent leadership; 451=Policy making with public opionion; 452=Good paternalistic government; 453=Policy making by hearing people's opionion; 500=Interpreting democracy in term of individual behaviors; 510=Democratic Style; 511=Communication; 512=Compromise; 513=Rational; 514=Tolerance; 515=Taking into account all parties concerned; 516=Freedom within legal limits; 517=Respect for others' rights; 518=No extremism; 519=Follow principles; 520=Duties; 521=Citizen duties; 522=Action within the limits of law; 523=Law-binding; 530=Individualism; 531=Respect for individual privacy; 532=Independence; 533=Self-reliance; 534=Having one's own views; 535=Self-responsibility; 536=Responsibility for one's own action/decision; 537=Fight for one's own interests; 538=Self dignity (self-esteem); 540=Trust; 600=Interpreting democracy in other broad and abstract terms; 610=Political System; 611=Governmental institution; 612=Decentralization (local self-government); 620=Nationalism and Statism; 621=Better country; 622=Wealthy state; 623=National independence; 624=Individual less important than nation; 625=Putting national interest above partisan interests; 626=National Security; 630=Stable and Cohesive Society; 631=Good society; 632=Patriotism; 633=Solidarity; 634=Harmony; 635=No chaos, anarchy or disorder; 636=Collective (group) interest is more important than individua; 640=Other Lofty Elements; 641=World peace; 642=The commonwealth of the world; 650=Ethnicity; 651=Political indiginization (the native rule); 652=Ethnic cleavage (or tension); 660=Democratic Centralism; 700=Conditions or Prerequisites for Democracy; 710=Gradualism; 711=Incremental; 712=It takes time; 713=No radicalism; 720=Prerequisites; 721=Democratic aptitude of citizens; 722=Citizen's sophistication; 723=Economic condition; 724=Level of education; 725=Fit our country's own conditions; 800=Evaluation of Democracy or Democratic Regime; 810=Positive Appraisal of Democracy in General; 811=The best or the better; 812=Progressive; 813=Universal acceptance; 814=Global trend; 820=Negative Appraisal of Democracy in General; 821=Corrupt; 822=Inefficient; 823=Unstable, chaotic, anarchy; 824=Conflict; 825=Lead to injustice; 826=Obstruct economic development; 827=Place too much on individual interests; 828=The worst system; 829=Does not exist; 830=We cannot have democracy; 831=Government ignore people’s need; 832=Manipulation by politicians; 833=Loss of freedom; 834=Serve government's interest; 835=The rich and the powerful dominate; 836=Too much Freedom; 837=Poverty is growing; 840=Positive Appraisal of One's Own Country's Democracy; 850=Negative Appraisal of One's Own Country's Democracy; 900=Reference or Cognitive Association; 910=Country reference; 911=Like United States, United Kingdom, Japan, etc.; 912=Not like North Korea, etc; 920=Political figures (e.g., Sun Yet-sun, Lee Teng-hui, Abraham; 921=Political parties or groups (e.g., DPP, KMT, etc); 922=Other associations (state, politics, society)","""democracy"" mean? second",1,100.0
q91_3,Unknown,,"To you, what does ""democracy"" mean? Third Response","95=Don't understand the question; 96=Unclassifiable; 97=No substance in answer; 98=Don't know; 99=No Response; 100=Interpreting democracy in generic (populist) terms; 110=Popular sovereignty; 111=Government of the people; 120=Government by the People; 121=People as their own master; 122=Power of the people; 130=Government for the People; 131=Putting people's interest first; 132=Care for people; 133=Responsive to people's need; 134=Governing in the interest of general welfare; 140=Absence of non-democratic arrangements; 141=No dictator; 142=No repression; 200=Interpreting a democracy in terms of some key elements of li; 201=Limited Government; 202=Freedom and civil liberty; 203=Freedom in general; 210=Freedom of speech/press/expression; 211=Freedom of association; 212=Political liberty; 213=Protection of individual/human rights; 214=Freedom from government repression; 215=Freedom of participation; 216=Freedom of belief (and religion); 217=Freedom of individual choice; 218=Freedom of information; 220=Political Equality; 221=One man one vote; 222=Equality before the law/justice; 223=Non discrimination; 230=Democratic Institutions and Process; 231=Election, popular vote or electoral choice; 232=Electing leaders with integrity and capacity; 233=Parliament; 234=Separation of power or check-and-balance; 235=Competitive party system; 236=Power rotation; 237=Rule of law; 238=Independent judicial; 239=Majority rule; 240=Respect for minority rights; 241=Political accountability; 250=Participation and Citizen Empowerment; 251=Ability to select or change government; 252=Voting; 253=Direct participation; 254=Demonstration; 255=Voice one's concern; 256=Plebiscite (referendum); 260=Social Pluralism and Civil Society; 261=Open society; 262=Pluralist society; 263=Responsible media; 300=Interpreting democracy in terms of social and economic syste; 310=Free Economy; 311=Free market; 312=Private properties/ownership; 313=Free and fair competition; 314=Personal economic opportunities; 315=No central planning; 316=Low tax; 317=Privatization; 318=Small government; 320=Equality, Justice or Fraternity; 321=Social equality; 322=Social justice; 323=Fraternity; 324=Equality of opportunities; 325=Social rights or social entitlements; 326=Welfare state; 327=Socialism; 328=Worker participation; 329=Gender equality; 330=Socio-Economic Performance; 331=Solve unemployment; 332=Find anyone a job; 333=Providing social welfare (or social safety net); 334=Taking good care of the weak; 335=Taking care of people's economic well-being; 336=Provision of happy and prosperous life; 337=Improvement of people's welfare; 338=Stable economy (economic stability); 339=Small income gap (small gap between the rich and the poor); 340=Economic development; 400=Interpreting democracy in terms of good government; 410=Good Governance; 411=Honest government; 412=Responsible (or rational) government; 413=Openness or transparent government; 414=Responsive government (listening to people, respecting publi; 415=Fair treatment; 416=Efficiency or can-do (can deliver); 417=No waste; 418=No corruption; 419=Law-biding government (rule by law); 420=Social stability; 421=Law and order; 430=Reform in General; 431=Political reform; 432=Economic reform; 440=Leadership; 441=Public-spirited (selfish-less) leaders; 442=Visionary (long-term oriented) leaders; 443=Ability to make necessary (and sometimes unpopular) decision; 444=Political elite should decide for the mass; 445=Government leaders should lead the people; 446=More younger leaders to replace the old faces; 447=Development of elite; 448=Competent leadership; 451=Policy making with public opionion; 452=Good paternalistic government; 453=Policy making by hearing people's opionion; 500=Interpreting democracy in term of individual behaviors; 510=Democratic Style; 511=Communication; 512=Compromise; 513=Rational; 514=Tolerance; 515=Taking into account all parties concerned; 516=Freedom within legal limits; 517=Respect for others' rights; 518=No extremism; 519=Follow principles; 520=Duties; 521=Citizen duties; 522=Action within the limits of law; 523=Law-binding; 530=Individualism; 531=Respect for individual privacy; 532=Independence; 533=Self-reliance; 534=Having one's own views; 535=Self-responsibility; 536=Responsibility for one's own action/decision; 537=Fight for one's own interests; 538=Self dignity (self-esteem); 540=Trust; 600=Interpreting democracy in other broad and abstract terms; 610=Political System; 611=Governmental institution; 612=Decentralization (local self-government); 620=Nationalism and Statism; 621=Better country; 622=Wealthy state; 623=National independence; 624=Individual less important than nation; 625=Putting national interest above partisan interests; 626=National Security; 630=Stable and Cohesive Society; 631=Good society; 632=Patriotism; 633=Solidarity; 634=Harmony; 635=No chaos, anarchy or disorder; 636=Collective (group) interest is more important than individua; 640=Other Lofty Elements; 641=World peace; 642=The commonwealth of the world; 650=Ethnicity; 651=Political indiginization (the native rule); 652=Ethnic cleavage (or tension); 660=Democratic Centralism; 700=Conditions or Prerequisites for Democracy; 710=Gradualism; 711=Incremental; 712=It takes time; 713=No radicalism; 720=Prerequisites; 721=Democratic aptitude of citizens; 722=Citizen's sophistication; 723=Economic condition; 724=Level of education; 725=Fit our country's own conditions; 800=Evaluation of Democracy or Democratic Regime; 810=Positive Appraisal of Democracy in General; 811=The best or the better; 812=Progressive; 813=Universal acceptance; 814=Global trend; 820=Negative Appraisal of Democracy in General; 821=Corrupt; 822=Inefficient; 823=Unstable, chaotic, anarchy; 824=Conflict; 825=Lead to injustice; 826=Obstruct economic development; 827=Place too much on individual interests; 828=The worst system; 829=Does not exist; 830=We cannot have democracy; 831=Government ignore people’s need; 832=Manipulation by politicians; 833=Loss of freedom; 834=Serve government's interest; 835=The rich and the powerful dominate; 836=Too much Freedom; 837=Poverty is growing; 840=Positive Appraisal of One's Own Country's Democracy; 850=Negative Appraisal of One's Own Country's Democracy; 900=Reference or Cognitive Association; 910=Country reference; 911=Like United States, United Kingdom, Japan, etc.; 912=Not like North Korea, etc; 920=Political figures (e.g., Sun Yet-sun, Lee Teng-hui, Abraham; 921=Political parties or groups (e.g., DPP, KMT, etc); 922=Other associations (state, politics, society)","""democracy"" mean? third",1,100.0
q92,Unknown,,People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things,"0=No answer; 1=Opportunity to change the government through elections; 2=Freedom to criticize those in power; 3=A small income gap between rich and poor; 4=Basic necessities like food, clothes and shelter etc. for ev; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer",people often differ,1,100.0
q93,Unknown,,"On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]?",1=Not at all satisfied; 2=Not very satisfied; 3=Fairly satisfied; 4=Very satisfied; 8=Can't choose; 9=Decline to answer,"whole, how satisfied",1,100.0
q94,Unknown,,In your opinion how much of a democracy is [country]?,"1=A full democracy; 2=A democracy, but with minor problems; 3=A democracy, with major problems; 4=Not a democracy; 7=Don't understand question; 8=Can't choose; 9=Decline to answer",your opinion how,1,100.0
q95,Unknown,,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?,1=Complete Dictatorship; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Complete Democracy; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,where would you,3,19.245008972987524
q96,Unknown,,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]? Where would you place our country under the present government?,1=Complete Dictatorship; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Complete Democracy; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,authoritarian rule]? where,1,100.0
q97,Unknown,,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]? To what extent would you want our country to be democratic now?,1=Complete Dictatorship; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Complete Democracy; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,authoritarian rule]? to,1,100.0
q98,Unknown,,Which would you think democracy is suitable for our country?,1=Democracy is completely unsuitable; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Democracy is perfectly suitable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,would you think,1,100.0
q99,Unknown,,How satisfied or dissatisfied are you with the [name of present] government?,1=Very satisfied; 2=Somewhat satisfied; 3=Somewhat dissatisfied; 4=Very dissatisfied; 7=No answer or can't understand; 8=Can't choose; 9=Decline to answer,with the [name,1,100.0
se10a,Unknown,,SE 10.1 Car/Jeep/Van,1=Yes; 2=No,se 10.1 car/jeep/van,1,100.0
se10b,Unknown,,SE 10.2 Tractor,1=Yes; 2=No,se 10.2 tractor,1,100.0
se10c,Unknown,,SE 10.3 Color or B/W Television,1=Yes; 2=No,se 10.3 color,1,100.0
se10d,Unknown,,SE 10.4 Cable Television,1=Yes; 2=No,se 10.4 cable,1,100.0
se10e,Unknown,,SE 10.5 Scooter/Motorcycle/Moped,1=Yes; 2=No,se 10.5 scooter/motorcycle/moped,1,100.0
se10f,Unknown,,SE 10.6 Telephone,1=Yes; 2=No,se 10.6 telephone,1,100.0
se10g,Unknown,,SE 10.7 Mobile Phone,1=Yes; 2=No,se 10.7 mobile,1,100.0
se10h,Unknown,,SE 10.8 Electric Fan/Cooler,1=Yes; 2=No,se 10.8 electric,1,100.0
se10i,Unknown,,SE 10.9 Bicycle,1=Yes; 2=No; 9=Decline to answer,se 10.9 bicycle,1,100.0
se10j,Unknown,,SE 10.10 Radio/Transistor,1=Yes; 2=No,se 10.10 radio/transistor,1,100.0
se10k,Unknown,,SE 10.11 Pumping Set,1=Yes; 2=No,se 10.11 pumping,1,100.0
se10l,Unknown,,SE 10.12 Fridge,1=Yes; 2=No,se 10.12 fridge,1,100.0
se10m,Unknown,,SE 10.13 Camera,1=Yes; 2=No,se 10.13 camera,1,100.0
se10n,Unknown,,SE 10.14 Goats/Sheep,1=Yes; 2=No,se 10.14 goats/sheep,1,100.0
se10o,Unknown,,SE 10.15 Cows/Buffalo,1=Yes; 2=No,se 10.15 cows/buffalo,1,100.0
se11,Unknown,,What language do you speak the most in the Home?,1=Only local language; 2=Mostly local language; 3=A mixture of local and official language; 4=Mostly official language; 5=Only official language; 6=Others; 8=Can't choose; 9=Decline to answer,what language do,1,100.0
se12a,Unknown,,Main Occupation,1=Hired Workers (Excluding unpaid family workers); 2=Employers and Self-Employed; 3=Purely Property Owner; 4=Unpaid family workers; 5=Presently unemployed but LOOKING for Work; 6=Presently unemployed and NOT LOOKING for Work; 7=Never worked before; 8=No answer; 9=Decline to answer; 10=Others; 80=Respondent is also the Chief Wage Earner,main occupation,1,80.0
se12b,Unknown,,Respondent is also the chief wage earner?,1=Yes; 2=No; 9=Decline to answer,respondent is also,1,100.0
se13,Unknown,,Subjective Social Status,1=Lowest status; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Highest status; 97=Don't understand; 98=Can't choose; 99=Decline to answer,subjective social status,1,100.0
se2,Unknown,,Gender,1=Male; 2=Female,gender,2,50.0
se3a,Unknown,,Age,97=NO ANSWER; 98=DON'T KNOW; 99=REFUSED,age,9,10.0
se4,Unknown,,Marital Status,1=Single/Never married; 2=Married; 3=Living-in as married; 4=Widowed; 5=Separated/Married but separated/not living with legal spouse; 6=Divorced; 9=Decline to answer,marital status,1,80.0
se5,Unknown,,Education,1=No formal education; 2=Incomplete primary/elementary; 3=Complete primary/elementary; 4=Incomplete secondary/high school: technical/vocational type; 5=Complete secondary/high school: technical/vocational type; 6=Incomplete secondary/high school; 7=Complete secondary/high school; 8=Some university education; 9=University education completed; 10=Post-graduate degree; 11=Other; 99=Decline to answer,education,16,10.0
se5a,Unknown,,Years of formal education,90=Not applicable; 97=No answer; 98=Cannot choose; 99=Decline to answer,years of formal,1,100.0
se6,Unknown,,Religion,1=Traditional folk religion (Shenism); 10=Roman Catholic; 20=Protestant; 21=Seventh Day Adventist; 22=Baptist; 23=Pentecostal; 24=Evangelical; 25=Epescopal; 26=Methodist; 27=Grace Gospel of Church; 30=Jews; 40=Islam; 41=Shia; 42=Sunni; 50=Hindu; 60=Buddhist; 70=Other Asian religions; 71=Sikhism; 72=Iglesia Ni Cristo; 73=Aglipayan; 74=Born Again; 75=Shinto; 76=Taoism; 77=I-Kuan Tao; 78=Confucianism; 79=Tiruray; 80=Other; 81=Jehovah Witness; 82=Mormons; 83=Dating Daan; 84=Anglican; 85=Baha'i; 86=Animism; 90=None; 98=Cannot choose; 99=Decline to answer,religion,1,50.0
se7,Unknown,,Religiosity,1=Several times a day; 2=Once a day; 3=Several times a week; 4=Once a week; 5=Several times a month; 6=Once a month; 7=Only during festivals (or several times a year); 8=Once a year; 9=Less often; 10=Practically never; 11=No religion; 98=Cannot choose; 99=Decline to answer,religiosity,1,50.0
se7a,Unknown,,Would you describe yourself as very religious?,1=Very religious; 2=Moderately religious; 3=Lightly religious; 4=Not religious at all; 7=Don't Understand; 8=Don't know(Can't choose); 9=Decline to answer,describe yourself as,1,100.0
se8a,Unknown,,How many people live in this household?,98=Can't choose; 99=Decline to answer,many people live,1,100.0
se8b,Unknown,,How many generations of family members live in this household?,1=One generation; 2=Two generations; 3=Three generations; 4=More than three generations; 8=Don't know; 9=Decline to answer,how many generations,1,100.0
se9,Unknown,,Monthly Household Income,1=lowest quintile; 2=2nd quintile; 3=3rd quintile; 4=4th quintile; 5=top quintile; 98=Can't choose; 99=Decline to answer,monthly household income,1,100.0
se9a,Unknown,,Does the total income of your household allow you to satisfactorily cover your needs?,"0=Not applicable; 1=Covers the needs well, we can save; 2=Covers the needs all right, without much difficulty; 3=Does not cover the needs, there are difficulties; 4=Does not cover the needs, there are great difficulties; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer",does the total,1,100.0
